county_fips,never,rarely,sometimes,frequently,always
47001,0.088,0.105,0.112,0.215,0.48
47003,0.164,0.093,0.246,0.248,0.249
47005,0.169,0.109,0.206,0.21,0.306
47007,0.082,0.122,0.131,0.251,0.415
47009,0.069,0.089,0.097,0.183,0.562
47011,0.121,0.098,0.126,0.282,0.373
47013,0.059,0.075,0.204,0.109,0.554
47015,0.209,0.089,0.238,0.182,0.282
47017,0.179,0.088,0.163,0.234,0.337
47019,0.115,0.031,0.151,0.215,0.487
47021,0.018,0.067,0.155,0.28,0.48
47023,0.108,0.068,0.122,0.362,0.34
47025,0.163,0.114,0.091,0.236,0.397
47027,0.099,0.105,0.264,0.126,0.406
47029,0.197,0.118,0.082,0.171,0.431
47031,0.165,0.09,0.174,0.208,0.363
47033,0.14,0.078,0.123,0.226,0.432
47035,0.096,0.093,0.201,0.214,0.395
47037,0.02,0.037,0.086,0.181,0.677
47039,0.175,0.171,0.168,0.168,0.318
47041,0.157,0.152,0.231,0.132,0.328
47043,0.054,0.076,0.079,0.336,0.455
47045,0.175,0.17,0.12,0.204,0.331
47047,0.022,0.001,0.089,0.205,0.682
47049,0.123,0.122,0.157,0.162,0.437
47051,0.166,0.092,0.13,0.201,0.411
47053,0.182,0.086,0.111,0.26,0.361
47055,0.061,0.068,0.192,0.237,0.441
47057,0.126,0.134,0.129,0.221,0.39
47059,0.125,0.178,0.033,0.254,0.41
47061,0.142,0.165,0.151,0.212,0.33
47063,0.157,0.113,0.121,0.189,0.42
47065,0.116,0.116,0.129,0.229,0.411
47067,0.148,0.243,0.059,0.14,0.41
47069,0.035,0.056,0.215,0.261,0.434
47071,0.142,0.14,0.107,0.241,0.371
47073,0.118,0.146,0.132,0.196,0.407
47075,0.086,0.026,0.169,0.155,0.565
47077,0.127,0.107,0.156,0.282,0.327
47079,0.092,0.09,0.264,0.207,0.347
47081,0.063,0.057,0.082,0.217,0.581
47083,0.108,0.049,0.116,0.337,0.39
47085,0.121,0.095,0.156,0.267,0.36
47087,0.138,0.128,0.249,0.093,0.392
47089,0.151,0.092,0.149,0.176,0.431
47091,0.107,0.079,0.141,0.261,0.412
47093,0.036,0.032,0.144,0.209,0.579
47095,0.133,0.143,0.166,0.201,0.357
47097,0.064,0.094,0.191,0.142,0.508
47099,0.074,0.129,0.156,0.192,0.45
47101,0.098,0.084,0.198,0.236,0.385
47103,0.126,0.187,0.106,0.214,0.367
47105,0.041,0.06,0.107,0.219,0.573
47107,0.077,0.087,0.155,0.298,0.384
47109,0.107,0.105,0.115,0.274,0.4
47111,0.146,0.085,0.215,0.083,0.47
47113,0.1,0.056,0.129,0.334,0.381
47115,0.115,0.122,0.135,0.247,0.381
47117,0.219,0.129,0.139,0.164,0.349
47119,0.119,0.07,0.19,0.156,0.466
47121,0.08,0.118,0.136,0.214,0.453
47123,0.07,0.138,0.165,0.229,0.397
47125,0.083,0.063,0.203,0.228,0.423
47127,0.173,0.101,0.176,0.235,0.316
47129,0.08,0.113,0.077,0.318,0.413
47131,0.117,0.125,0.187,0.246,0.325
47133,0.12,0.131,0.228,0.128,0.393
47135,0.18,0.148,0.137,0.159,0.376
47137,0.105,0.128,0.219,0.133,0.416
47139,0.089,0.069,0.15,0.24,0.452
47141,0.16,0.164,0.207,0.099,0.369
47143,0.096,0.154,0.113,0.154,0.483
47145,0.074,0.142,0.105,0.274,0.405
47147,0.187,0.069,0.081,0.159,0.504
47149,0.081,0.073,0.121,0.215,0.51
47151,0.121,0.144,0.154,0.219,0.362
47153,0.108,0.087,0.177,0.289,0.339
47155,0.039,0.072,0.15,0.183,0.556
47157,0.034,0.025,0.105,0.184,0.653
47159,0.088,0.091,0.202,0.113,0.507
47161,0.071,0.045,0.15,0.214,0.521
47163,0.096,0.091,0.143,0.187,0.483
47165,0.104,0.069,0.14,0.196,0.49
47167,0.081,0.025,0.223,0.138,0.533
47169,0.112,0.063,0.241,0.133,0.452
47171,0.049,0.041,0.108,0.306,0.497
47173,0.086,0.145,0.167,0.181,0.421
47175,0.145,0.147,0.147,0.239,0.323
47177,0.14,0.107,0.189,0.212,0.352
47179,0.061,0.074,0.166,0.218,0.48
47181,0.089,0.215,0.136,0.147,0.414
47183,0.093,0.135,0.228,0.251,0.292
47185,0.185,0.205,0.162,0.115,0.333
47187,0.019,0.073,0.091,0.212,0.604
47189,0.105,0.035,0.099,0.192,0.568
