,zip,Latitude,Longitude,Mapped Location,geometry,latlong,Date,Is Violation,Cluster Name,Facility Type,# Cases,Is Cluster
61,37203.0,36.1490396,-86.77227289999998,"(36.1490396, -86.77227289999999)",POINT (-86.77227289999998 36.1490396),"[36.1490396, -86.77227289999998]",2020-04-15,1.0,0,0,0.0,0.0
231,37203.0,36.159267911605305,-86.79323699999998,"(36.159267911605305, -86.79323699999999)",POINT (-86.79323699999998 36.1592679116053),"[36.159267911605305, -86.79323699999998]",2020-04-05,1.0,0,0,0.0,0.0
304,37203.0,36.1530528,-86.79032219999998,"(36.1530528, -86.79032219999999)",POINT (-86.79032219999998 36.1530528),"[36.1530528, -86.79032219999998]",2020-06-16,1.0,0,0,0.0,0.0
887,37203.0,36.1513,-86.79408000000001,"(36.1513, -86.79408)",POINT (-86.79408000000001 36.1513),"[36.1513, -86.79408000000001]",2020-08-11,1.0,0,0,0.0,0.0
1032,37203.0,36.13537,-86.77945759999999,"(36.13537, -86.7794576)",POINT (-86.77945759999999 36.13537),"[36.13537, -86.77945759999999]",2020-04-22,1.0,0,0,0.0,0.0
1152,37203.0,36.15920936160527,-86.79327099333594,"(36.15920936160527, -86.79327099333594)",POINT (-86.79327099333594 36.15920936160527),"[36.15920936160527, -86.79327099333594]",2020-04-06,1.0,0,0,0.0,0.0
1379,37203.0,36.1575795,-86.79837640000002,"(36.1575795, -86.79837640000001)",POINT (-86.79837640000002 36.1575795),"[36.1575795, -86.79837640000002]",2020-04-16,1.0,0,0,0.0,0.0
1591,37203.0,36.1454887,-86.81234479999998,"(36.1454887, -86.81234479999999)",POINT (-86.81234479999998 36.1454887),"[36.1454887, -86.81234479999998]",2020-08-05,1.0,0,0,0.0,0.0
1596,37203.0,36.15334314625646,-86.7904766744306,"(36.15334314625646, -86.7904766744306)",POINT (-86.79047667443059 36.15334314625646),"[36.15334314625646, -86.7904766744306]",2020-08-04,1.0,0,0,0.0,0.0
1603,37203.0,36.1439783,-86.8129386,"(36.1439783, -86.8129386)",POINT (-86.8129386 36.1439783),"[36.1439783, -86.8129386]",2020-04-17,1.0,0,0,0.0,0.0
