,Cluster Name,Facility Type,Cluster Start Date,# Cases,Latitude,Longitude,geometry,latlong
0,Vanderbilt Parties,Social Gathering,3/11/2020,49,36.1447034,-86.8026551,POINT (-86.8026551 36.1447034),"[36.1447034, -86.8026551]"
1,Event at Clementine Hall,Social Gathering,3/14/2020,23,36.152444200000005,-86.8445829,POINT (-86.84458290000001 36.15244420000001),"[36.152444200000005, -86.8445829]"
3,The Health Center at Richland Place,LTCF,4/3/2020,47,36.128749799999994,-86.8173446,POINT (-86.8173446 36.12874979999999),"[36.128749799999994, -86.8173446]"
4,Trevecca Center for Rehab and Healing,LTCF,4/4/2020,102,36.1445623,-86.7545598,POINT (-86.7545598 36.1445623),"[36.1445623, -86.7545598]"
5,Tyson Foods,Commercial-Warehouse,4/6/2020,280,36.3310149,-86.709977,POINT (-86.70997699999999 36.3310149),"[36.3310149, -86.709977]"
6,Nashville Center for Rehab and Healing,LTCF,4/8/2020,12,36.1345574,-86.780929,POINT (-86.780929 36.1345574),"[36.1345574, -86.780929]"
7,CDM Jail,Correctional Facility,4/13/2020,22,36.0882,-86.6839796,POINT (-86.6839796 36.0882),"[36.0882, -86.6839796]"
8,Bordeaux,LTCF,4/15/2020,47,36.1939448,-86.83138840000001,POINT (-86.83138840000001 36.1939448),"[36.1939448, -86.83138840000001]"
9,Cargill,Commercial-Warehouse,4/21/2020,22,36.114253600000005,-86.75458859999999,POINT (-86.75458859999999 36.1142536),"[36.114253600000005, -86.75458859999999]"
10,Bethany Center for Rehab and Healing,LTCF,4/27/2020,133,36.049614,-86.716761,POINT (-86.71676100000001 36.049614),"[36.049614, -86.716761]"
11,Knowles Assisted Living,LTCF,4/27/2020,41,36.181554299999995,-86.8489279,POINT (-86.84892790000001 36.18155429999999),"[36.181554299999995, -86.8489279]"
12,Rescue Mission-Fairgrounds,Congregate Living,4/30/2020,156,36.1536999,-86.7772757,POINT (-86.7772757 36.1536999),"[36.1536999, -86.7772757]"
14,Montgomery Bell Academy job site,Construction,5/8/2020,75,36.1285315,-86.8364663,POINT (-86.8364663 36.1285315),"[36.1285315, -86.8364663]"
16,Good Samaritan Health & Healing,LTCF,6/3/2020,75,36.053331,-86.649235,POINT (-86.649235 36.053331),"[36.053331, -86.649235]"
17,Rolling Mill Hill job site,Construction,6/3/2020,21,36.1574605,-86.7698728,POINT (-86.7698728 36.1574605),"[36.1574605, -86.7698728]"
18,The Opal at Music City,LTCF,6/3/2020,27,36.161851,-86.66103000000001,POINT (-86.66103000000001 36.161851),"[36.161851, -86.66103000000001]"
19,Lipscomb Elam Hall job site,Construction,6/10/2020,32,36.1061679,-86.79792579999999,POINT (-86.79792579999999 36.1061679),"[36.1061679, -86.79792579999999]"
21,Creekside Center for Rehab and Healing,LTCF,6/15/2020,107,36.2514581,-86.7264282,POINT (-86.7264282 36.2514581),"[36.2514581, -86.7264282]"
23,Hermitage Hall,Congregate Living,6/20/2020,93,36.1400946,-86.77756629999999,POINT (-86.77756629999999 36.1400946),"[36.1400946, -86.77756629999999]"
24,West Meade Place,LTCF,6/24/2020,11,36.1034239,-86.88865009999999,POINT (-86.88865009999999 36.1034239),"[36.1034239, -86.88865009999999]"
25,Ahava / Grace Healthcare of White's Creek,LTCF,6/26/2020,46,36.238445,-86.80227,POINT (-86.80226999999999 36.238445),"[36.238445, -86.80227]"
26,CDM Jail,Correctional Facility,6/26/2020,75,36.0882,-86.6839796,POINT (-86.6839796 36.0882),"[36.0882, -86.6839796]"
27,Dawghouse Saloon,Bar,6/26/2020,14,36.1530528,-86.7903222,POINT (-86.79032220000001 36.1530528),"[36.1530528, -86.7903222]"
28,Dogwood,Restaurant,6/26/2020,19,36.1498107,-86.79633570000001,POINT (-86.79633570000001 36.1498107),"[36.1498107, -86.79633570000001]"
29,Kid Rock's Big Ass Honky Tonk,Bar,6/26/2020,15,36.16144620000001,-86.77572550000001,POINT (-86.77572550000001 36.16144620000001),"[36.16144620000001, -86.77572550000001]"
